time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.1113728,0.08503675,-14.46332,NotOnTheLine,0,0,True,8
0.2224393,0.774284,-14.61292,NotOnTheLine,0,0,True,8
0.3763522,2.823985,-14.19659,NotOnTheLine,0,0,True,8
0.4872787,4.971791,-10.78287,NotOnTheLine,0,0,True,8
0.5988995,7.700708,-6.025665,NotOnTheLine,0,0,True,8
0.7100953,10.89505,-1.24884,NotOnTheLine,0,0,True,8
0.8218108,14.45915,6.916809,CloseEnough,0,0,True,8
0.9329383,18.20075,16.59341,CloseEnough,0,0,True,8
1.044368,22.10595,26.78485,OnTheLine,0,0,True,8
1.155616,26.01638,33.89188,OnTheLine,40,0,True,8
1.266802,29.82192,40.01389,CloseEnough,40,0,True,8
1.41955,34.7495,48.63974,NotOnTheLine,40,0,True,8
1.572036,38.80602,53.38895,NotOnTheLine,40,0,True,8
1.684222,41.27992,56.14084,NotOnTheLine,40,0,True,8
1.795835,43.1564,58.7775,NotOnTheLine,40,0,True,8
1.906512,44.39026,60.49582,NotOnTheLine,40,0,True,8
2.018141,44.96072,62.60202,NotOnTheLine,40,0,True,8
2.129248,44.84897,61.52698,NotOnTheLine,40,0,True,8
2.281941,43.59972,51.34457,CloseEnough,40,0,True,8
2.393634,41.89822,44.0802,OnTheLine,40,0,True,8
2.505287,39.61967,40.77548,OnTheLine,40,0,True,8
2.61616,36.8117,39.96042,OnTheLine,40,0,True,8
2.716295,33.58561,38.28699,OnTheLine,40,0,True,8
2.825647,30.50639,35.79532,CloseEnough,40,0,True,8
2.936532,26.68604,33.01843,CloseEnough,40,0,True,8
3.048155,22.75716,29.79068,CloseEnough,40,0,True,8
3.148427,18.87434,25.79678,CloseEnough,64,0,True,8
3.249029,15.76782,22.74707,CloseEnough,64,0,True,8
3.392098,11.05844,18.9364,CloseEnough,64,0,True,8
3.534981,6.832098,16.34692,CloseEnough,64,0,True,8
3.68751,3.63011,14.10635,CloseEnough,64,0,True,8
3.798831,1.819511,12.90637,CloseEnough,64,0,True,8
3.91048,0.5797032,11.80078,CloseEnough,64,0,True,8
4.022197,0.02881631,10.46887,CloseEnough,64,0,True,8
4.132826,0.1647091,9.157043,CloseEnough,64,0,True,8
4.244346,0.9898062,8.724243,CloseEnough,88,0,True,8
4.357091,2.459516,8.611206,CloseEnough,88,0,True,8
4.508621,5.539389,7.706543,OnTheLine,88,0,True,8
4.621001,8.276647,6.633087,OnTheLine,88,0,True,8
4.731711,11.57402,6.650482,OnTheLine,88,0,True,8
4.885018,16.554,10.7117,CloseEnough,88,0,True,8
4.998252,20.41871,17.82623,CloseEnough,88,0,True,8
5.108607,24.35759,24.46307,OnTheLine,88,0,True,8
5.220039,28.24124,29.86655,OnTheLine,128,0,True,8
5.331488,31.96231,34.05917,OnTheLine,128,0,True,8
5.443146,35.35187,38.19678,OnTheLine,128,0,True,8
5.554566,38.38857,42.03122,OnTheLine,128,0,True,8
5.665919,40.91604,46.1481,OnTheLine,128,0,True,8
5.779877,42.88002,49.1781,OnTheLine,128,0,True,8
5.891882,44.26431,50.62375,OnTheLine,128,0,True,8
6.019649,44.93243,48.7417,OnTheLine,128,0,True,8
6.13558,44.82748,46.93713,OnTheLine,128,0,True,8
6.289986,43.49572,45.46286,OnTheLine,168,0,True,8
6.444509,40.92395,41.23077,OnTheLine,168,0,True,8
6.586041,37.34271,36.14539,OnTheLine,168,0,True,8
6.695297,34.57056,33.59821,OnTheLine,168,0,True,8
6.848944,29.71331,29.4881,OnTheLine,168,0,True,8
6.960781,25.86339,26.3638,OnTheLine,168,0,True,8
7.071694,21.93328,23.54126,OnTheLine,168,0,True,8
7.183485,18.01567,21.22824,OnTheLine,168,0,True,8
7.335435,12.82173,18.40887,CloseEnough,208,0,True,8
7.447748,9.526395,16.48618,CloseEnough,208,0,True,8
7.559312,6.507872,14.74945,CloseEnough,208,0,True,8
7.670399,3.994811,12.86014,CloseEnough,208,0,True,8
7.782077,2.045835,11.15329,CloseEnough,208,0,True,8
7.934777,0.3865385,9.745941,CloseEnough,208,0,True,8
8.047411,0.002156496,8.706543,CloseEnough,208,0,True,8
8.157554,0.2907045,8.14801,CloseEnough,208,0,True,8
8.26958,1.259882,7.366272,CloseEnough,232,0,True,8
8.381034,2.869068,7.380859,OnTheLine,232,0,True,8
8.492367,5.095252,7.293945,OnTheLine,232,0,True,8
8.60421,7.848653,8.753754,OnTheLine,232,0,True,8
8.715365,11.02896,14.22369,OnTheLine,232,0,True,8
8.826499,14.59849,20.19781,OnTheLine,232,0,True,8
8.938556,18.36888,25.86642,OnTheLine,232,0,True,8
9.049815,22.29089,30.81403,CloseEnough,232,0,True,8
9.161669,26.21694,34.52396,CloseEnough,232,0,True,8
9.273891,30.02164,38.87109,CloseEnough,256,0,True,8
9.383269,33.65631,41.4408,CloseEnough,256,0,True,8
9.536079,37.97859,43.34436,OnTheLine,256,0,True,8
9.649128,40.5466,45.397,OnTheLine,256,0,True,8
9.760023,42.61243,47.24863,OnTheLine,256,0,True,8
9.871792,44.06255,49.16129,OnTheLine,256,0,True,8
9.982612,44.85472,51.14444,OnTheLine,256,0,True,8
10.13603,44.82177,49.46411,OnTheLine,256,0,True,8
10.24706,43.99343,46.71188,OnTheLine,256,0,True,8
