time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.1125317,0.08959249,-0.06286621,OnTheLine,0,0,False,8
0.2237795,0.7805872,0.0227356,OnTheLine,0,0,False,8
0.3352236,2.127487,0.27771,OnTheLine,0,0,False,8
0.4758177,4.978992,1.140778,OnTheLine,0,0,False,8
0.5856734,7.338499,2.98233,OnTheLine,0,0,False,8
0.7386721,11.7384,7.319977,OnTheLine,0,0,False,8
0.8798847,16.76387,16.37234,OnTheLine,0,0,False,8
0.9892685,20.14713,22.65353,OnTheLine,0,0,False,8
1.142747,25.56021,29.89951,OnTheLine,40,0,False,8
1.295403,30.86533,32.81378,OnTheLine,40,0,False,8
1.449244,35.56478,35.60172,OnTheLine,40,0,False,8
1.560568,38.52877,39.55017,OnTheLine,40,0,False,8
1.701798,41.81608,45.44815,OnTheLine,40,0,False,8
1.851771,43.88422,47.77975,OnTheLine,40,0,False,8
1.994101,44.9299,48.04779,OnTheLine,40,0,False,8
2.144443,44.76825,46.55173,OnTheLine,80,0,False,8
2.244614,43.89429,44.94324,OnTheLine,80,0,False,8
2.353568,42.58039,43.66812,OnTheLine,80,0,False,8
2.507223,39.57939,41.46164,OnTheLine,80,0,False,8
2.607353,36.76396,39.38159,OnTheLine,80,0,False,8
2.757456,32.58961,35.94028,OnTheLine,80,0,False,8
2.857973,29.0031,33.27777,OnTheLine,80,0,False,8
3.007612,24.08531,30.03885,CloseEnough,80,0,False,8
3.120279,20.24249,27.59683,CloseEnough,104,0,False,8
3.220313,16.37449,25.48581,CloseEnough,104,0,False,8
3.370366,11.7665,23.27454,NotOnTheLine,104,0,False,8
3.482246,8.530521,21.25729,NotOnTheLine,104,0,False,8
3.62373,4.732493,17.73953,NotOnTheLine,104,0,False,8
3.773767,2.130027,14.36676,NotOnTheLine,104,0,False,8
3.927452,0.4457992,11.15689,CloseEnough,104,0,False,8
4.08095,0.01734853,8.798157,CloseEnough,104,0,False,8
4.192784,0.5242324,8.159973,CloseEnough,128,0,False,8
4.304735,1.699393,8.326599,CloseEnough,128,0,False,8
4.41633,3.509814,9.533508,OnTheLine,128,0,False,8
4.527623,5.898272,13.61264,OnTheLine,128,0,False,8
4.639142,8.802537,18.79846,CloseEnough,128,0,False,8
4.750226,12.19049,26.10446,CloseEnough,128,0,False,8
4.861828,15.73666,33.4425,NotOnTheLine,128,0,False,8
4.972635,19.56663,38.83234,NotOnTheLine,128,0,False,8
5.084082,23.49613,41.17783,NotOnTheLine,128,0,False,8
5.197169,27.41097,42.05875,NotOnTheLine,128,0,False,8
5.306505,31.14063,43.19052,CloseEnough,128,0,False,8
5.406651,34.6319,44.80869,CloseEnough,128,0,False,8
5.518836,37.37258,45.90521,CloseEnough,128,0,False,8
5.630558,40.16084,46.59946,CloseEnough,128,0,False,8
5.753718,42.31669,47.56479,OnTheLine,128,0,False,8
5.904744,44.39828,47.5354,OnTheLine,128,0,False,8
6.046226,44.99993,43.99194,OnTheLine,128,0,False,8
6.197645,44.43031,39.75296,OnTheLine,168,0,False,8
6.309317,43.23466,36.4201,OnTheLine,168,0,False,8
6.450294,40.58102,33.02997,CloseEnough,168,0,False,8
6.559727,38.30389,32.12012,OnTheLine,168,0,False,8
6.67211,35.25853,31.47672,OnTheLine,168,0,False,8
6.783021,31.83974,30.43665,OnTheLine,168,0,False,8
6.894563,28.14676,29.01166,OnTheLine,168,0,False,8
7.006226,24.25001,26.78134,OnTheLine,168,0,False,8
7.117153,20.31041,23.01126,OnTheLine,168,0,False,8
7.228768,16.44567,18.32104,OnTheLine,208,0,False,8
7.34154,12.76647,13.93542,OnTheLine,208,0,False,8
7.493236,8.180303,10.02969,OnTheLine,208,0,False,8
7.645723,4.44696,8.015045,OnTheLine,208,0,False,8
7.758221,2.425764,6.887848,OnTheLine,208,0,False,8
7.869357,0.9561713,6.282471,OnTheLine,208,0,False,8
8.022135,0.02618641,5.613983,OnTheLine,208,0,False,8
8.13295,0.1673712,5.330933,OnTheLine,208,0,False,8
8.286271,1.464636,6.854706,OnTheLine,248,0,False,8
8.398532,3.181471,10.3316,OnTheLine,248,0,False,8
8.509676,5.481037,15.11935,CloseEnough,248,0,False,8
8.621739,8.333675,20.46329,CloseEnough,248,0,False,8
8.732555,11.57216,25.58014,CloseEnough,248,0,False,8
8.858085,15.22424,29.50049,NotOnTheLine,248,0,False,8
8.968951,19.45326,32.3819,CloseEnough,248,0,False,8
9.080566,23.38146,33.99884,CloseEnough,248,0,False,8
9.192088,27.29115,35.96643,CloseEnough,272,0,False,8
9.303864,31.05182,38.79987,CloseEnough,272,0,False,8
9.414592,34.52695,41.59647,OnTheLine,272,0,False,8
9.526282,37.65677,44.20264,OnTheLine,272,0,False,8
9.637588,40.32331,46.43549,OnTheLine,272,0,False,8
9.749827,42.43932,47.52859,OnTheLine,272,0,False,8
9.860006,43.94659,48.67487,OnTheLine,272,0,False,8
9.972149,44.80443,49.55554,OnTheLine,272,0,False,8
10.08302,44.97876,50.01236,OnTheLine,272,0,False,8
10.19487,44.46346,49.31177,OnTheLine,312,0,False,8
10.30586,43.28275,46.25278,OnTheLine,312,0,False,8
10.41678,41.47276,41.10843,OnTheLine,312,0,False,8
10.52899,39.06995,35.84567,OnTheLine,312,0,False,8
10.64,36.18045,31.0499,OnTheLine,312,0,False,8
10.75156,32.8487,27.03168,OnTheLine,312,0,False,8
10.86583,29.09193,23.78607,OnTheLine,312,0,False,8
10.96913,25.59599,21.41107,OnTheLine,312,0,False,8
11.08112,21.63427,19.06747,OnTheLine,312,0,False,8
11.19484,17.65952,16.28561,OnTheLine,312,0,False,8
11.3068,13.87965,14.08969,OnTheLine,352,0,False,8
11.41808,10.384,12.22134,OnTheLine,352,0,False,8
11.52952,7.240889,10.53503,OnTheLine,352,0,False,8
11.64135,4.597207,8.887482,OnTheLine,352,0,False,8
11.75247,2.488449,7.66272,OnTheLine,352,0,False,8
11.89433,0.6225809,6.475098,CloseEnough,352,0,False,8
12.04434,0.00197947,6.528717,CloseEnough,352,0,False,8
12.15672,0.2826351,7.52536,CloseEnough,352,0,False,8
12.25715,1.239533,10.52661,CloseEnough,376,0,False,8
12.36517,2.623752,14.13474,CloseEnough,376,0,False,8
12.47683,4.749842,18.90851,CloseEnough,376,0,False,8
12.58891,7.440138,24.7338,NotOnTheLine,376,0,False,8
12.69954,10.5909,30.89456,NotOnTheLine,376,0,False,8
12.81157,14.06891,35.90469,NotOnTheLine,376,0,False,8
12.92257,17.86024,39.45432,NotOnTheLine,376,0,False,8
13.03415,21.72441,41.9101,NotOnTheLine,376,0,False,8
13.14493,25.6738,43.42154,NotOnTheLine,376,0,False,8
13.29822,30.85309,44.89169,NotOnTheLine,376,0,False,8
13.45087,35.57757,45.91483,CloseEnough,376,0,False,8
13.5632,38.58162,47.08994,CloseEnough,376,0,False,8
13.67536,41.07825,47.95483,CloseEnough,376,0,False,8
13.82631,43.59075,48.50253,OnTheLine,376,0,False,8
13.98003,44.84177,46.98453,OnTheLine,376,0,False,8
14.13293,44.8344,42.63196,OnTheLine,376,0,False,8
14.28638,43.54152,37.7872,OnTheLine,376,0,False,8
14.3981,41.82058,34.88843,OnTheLine,1216,1,False,8
14.55074,38.47396,31.85077,OnTheLine,1216,1,False,8
14.6915,34.31287,29.70743,OnTheLine,1216,1,False,8
14.80224,31.23878,28.48349,OnTheLine,1216,1,False,8
14.91331,27.50172,26.5845,OnTheLine,1216,1,False,8
15.02476,23.59024,24.16702,OnTheLine,1216,1,False,8
15.13592,19.64581,21.12091,OnTheLine,1216,1,False,8
15.28931,14.44298,16.79507,OnTheLine,1216,1,False,8
15.4416,9.597001,12.9375,OnTheLine,1256,1,False,8
15.59536,5.64438,10.41415,OnTheLine,1256,1,False,8
15.73724,2.57921,8.470703,CloseEnough,1256,1,False,8
15.84595,1.217152,7.505371,CloseEnough,1256,1,False,8
15.99912,0.08338183,6.444183,CloseEnough,1256,1,False,8
16.11025,0.08313641,6.360504,CloseEnough,1256,1,False,8
16.22214,0.769173,6.039764,OnTheLine,1256,1,False,8
16.32274,2.110723,6.249054,OnTheLine,1256,1,False,8
16.43074,3.781756,7.549713,OnTheLine,1296,1,False,8
16.54226,6.274989,9.689331,OnTheLine,1296,1,False,8
16.65732,9.30747,13.81097,OnTheLine,1296,1,False,8
16.77971,12.69548,19.18628,OnTheLine,1296,1,False,8
16.89649,16.74934,25.51489,OnTheLine,1296,1,False,8
17.0028,20.68053,31.83035,CloseEnough,1296,1,False,8
17.1129,24.53983,35.77148,CloseEnough,1296,1,False,8
17.2632,29.83689,40.49011,CloseEnough,1296,1,False,8
17.40551,34.57412,42.32144,CloseEnough,1320,1,False,8
17.55577,38.46125,43.64505,OnTheLine,1320,1,False,8
17.69732,41.73758,47.80759,OnTheLine,1320,1,False,8
17.80737,43.30225,49.23993,OnTheLine,1320,1,False,8
